transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date,is_suspicious
TXN00000001,6719,735,14.89,CLP,approved,2026-01-13 07:47:40,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,157.3.161.4,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/9223-11-13 08:23:34.115387 Firefox/3.6.12,1,1491,True,1,retail,False,2026-01-15,True
TXN00000002,4754,465,14.29,MXN,approved,2026-02-15 06:01:25,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,10.38.98.227,"Mozilla/5.0 (Linux; Android 7.1) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/14.0.853.0 Safari/533.1",1,2275,True,1,other,False,2026-02-16,True
TXN00000003,2912,586,78.59,USD,approved,2026-03-05 23:51:06,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,176.239.219.243,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/534.49.5 (KHTML, like Gecko) Version/5.1 Safari/534.49.5",1,2010,,1,other,True,2026-03-07,True
TXN00000005,8637,677,30.44,CLP,approved,2026-01-12 21:36:11,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,133.185.82.255,API/1.0,1,1920,,1,entertainment,False,2026-01-13,True
TXN00000006,1380,918,24.15,MXN,approved,2026-02-15 06:27:13,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,178.31.147.243,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Win 9x 4.90; Trident/3.0),1,2105,True,1,retail,False,2026-02-17,True
TXN00000008,8087,354,20.61,BRL,approved,2026-02-01 17:33:19,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,27.135.72.149,Opera/8.65.(X11; Linux i686; gd-GB) Presto/2.9.188 Version/11.00,1,2856,True,1,utilities,False,2026-02-02,True
TXN00000009,2684,589,94.06,USD,approved,2026-02-01 03:48:38,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,19.154.7.87,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/50.0.867.0 Mobile/45V680 Safari/534.0",1,1304,True,12,tech,True,2026-02-03,True
TXN00000011,3172,412,66.55,BRL,approved,2026-01-07 07:30:31,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,51.53.233.125,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.1),1,2885,False,1,services,False,2026-01-08,True
TXN00000012,6975,945,65.29,PEN,approved,2026-01-22 09:15:24,credit_card,Visa,PE,00,Transaction approved,2.94,1.92,63.37,mobile,42.119.22.213,Opera/8.59.(X11; Linux x86_64; ik-CA) Presto/2.9.167 Version/10.00,1,2210,False,6,food_beverage,False,2026-01-23,True
TXN00000013,8830,260,25.35,BRL,declined,2026-03-03 09:28:08,bank_transfer,PSE,BR,54,Insufficient funds,0.0,0.0,0.0,desktop,22.23.171.50,"Mozilla/5.0 (iPad; CPU iPad OS 14_8_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/15.1r3223.0 Mobile/74Z617 Safari/531.1",3,2618,,1,utilities,False,,True
TXN00000014,8136,916,174.97,PEN,approved,2026-02-09 10:26:02,debit_card,Mastercard Debit,PE,00,Transaction approved,3.24,5.67,169.3,mobile,192.227.27.253,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/16.0t7592.0 Mobile/98C070 Safari/534.2",1,2286,True,1,entertainment,False,2026-02-10,True
