transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date,is_suspicious
TXN00000007,4426,940,22.24,COP,approved,2026-02-12 16:03:13,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,81.35.248.197,"Mozilla/5.0 (iPad; CPU iPad OS 17_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/17.9c8137.0 Mobile/57Z330 Safari/534.1",1,602,True,1,services,False,2026-02-14,False
TXN00000010,4502,636,20.96,COP,approved,2026-02-22 22:17:02,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,203.62.123.250,Opera/8.91.(X11; Linux x86_64; ms-MY) Presto/2.9.169 Version/12.00,1,2226,,1,food_beverage,False,2026-02-23,False
TXN00000016,685,247,67.09,COP,approved,2026-03-29 16:55:59,ewallet,Clip,CO,00,Transaction approved,4.3,2.88,64.21,tablet,61.85.128.26,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/3766-10-31 17:33:40.606247 Firefox/3.8,1,1399,,1,services,False,2026-03-31,False
TXN00000018,5641,124,61.49,COP,approved,2026-03-15 18:21:11,credit_card,American Express,CO,00,Transaction approved,3.24,1.99,59.5,mobile,104.229.201.158,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/16.0.890.0 Mobile/16G198 Safari/532.1",1,1372,True,6,tech,False,2026-03-17,False
TXN00000019,3821,602,140.6,COP,approved,2026-03-23 03:46:49,credit_card,Diners Club,CO,00,Transaction approved,2.87,4.04,136.56,mobile,53.116.131.153,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/62.0.882.0 Mobile/36O606 Safari/531.2",1,2482,True,12,travel,False,2026-03-25,False
TXN00000023,4360,267,108.13,COP,approved,2026-03-27 19:24:32,credit_card,Mastercard,CO,00,Transaction approved,3.08,3.33,104.8,desktop,112.141.213.234,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/7095-07-18 17:34:38.262543 Firefox/13.0,1,828,True,1,travel,False,2026-03-29,False
TXN00000040,4753,208,19.51,COP,approved,2026-03-09 05:50:53,credit_card,Diners Club,CO,00,Transaction approved,2.83,0.55,18.96,tablet,106.255.125.203,Opera/9.50.(X11; Linux i686; tr-CY) Presto/2.9.176 Version/12.00,1,1837,True,1,utilities,False,2026-03-11,False
TXN00000049,7758,885,57.56,COP,approved,2026-03-19 08:03:21,ewallet,PayPal,CO,00,Transaction approved,3.55,2.04,55.52,desktop,164.253.125.218,Opera/8.17.(X11; Linux i686; fr-CA) Presto/2.9.169 Version/10.00,1,483,,1,travel,False,2026-03-20,False
TXN00000058,3961,219,18.52,COP,pending,2026-03-28 09:55:34,bank_transfer,Transferencia,CO,pending,Pending authorization,0.0,0.0,0.0,tablet,177.197.147.182,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; tg-TJ) AppleWebKit/534.24.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6534.24.1",1,2518,,1,utilities,False,,False
TXN00000059,2465,68,49.02,COP,approved,2026-03-06 15:15:02,bank_transfer,Transferencia,CO,00,Transaction approved,1.94,0.95,48.07,mobile,146.66.96.37,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/14.2y2670.0 Mobile/40T954 Safari/531.2",1,2043,,1,entertainment,False,2026-03-07,False
TXN00000069,9159,998,52.11,COP,approved,2026-03-23 19:33:37,debit_card,Mastercard Debit,CO,00,Transaction approved,2.71,1.41,50.7,mobile,110.172.68.209,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ht-HT) AppleWebKit/532.49.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6532.49.3",1,210,False,1,utilities,False,2026-03-25,False
TXN00000072,5258,277,7.43,COP,approved,2026-02-16 05:58:41,credit_card,American Express,CO,00,Transaction approved,2.77,0.21,7.22,mobile,14.78.88.128,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.1),1,1656,True,3,retail,False,2026-02-17,False
TXN00000074,8922,304,8.12,COP,approved,2026-03-09 01:46:45,debit_card,Mastercard Debit,CO,00,Transaction approved,3.42,0.28,7.84,mobile,34.48.139.228,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/3.0),1,2184,True,1,utilities,False,2026-03-11,False
TXN00000075,3566,383,52.1,COP,approved,2026-03-26 22:29:14,credit_card,American Express,CO,00,Transaction approved,2.77,1.44,50.66,mobile,22.170.240.180,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.6.5 (KHTML, like Gecko) Version/4.0.1 Safari/534.6.5",1,114,True,1,retail,False,2026-03-28,False
TXN00000078,2851,37,14.47,COP,approved,2026-02-18 14:30:16,credit_card,Diners Club,CO,00,Transaction approved,3.44,0.5,13.97,desktop,184.197.160.82,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/44.0.846.0 Safari/536.0",1,318,True,6,travel,False,2026-02-20,False
TXN00000079,1827,115,12.58,USD,approved,2026-01-17 16:15:20,debit_card,Visa Debit,CO,00,Transaction approved,2.64,0.33,12.25,mobile,10.44.4.204,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/531.13.3 (KHTML, like Gecko) Version/5.0.1 Safari/531.13.3",1,483,True,1,food_beverage,True,2026-01-18,False
TXN00000082,6421,507,20.7,COP,approved,2026-02-14 05:38:58,bank_transfer,SPEI,CO,00,Transaction approved,1.62,0.34,20.36,mobile,72.88.115.198,Opera/8.77.(Windows NT 4.0; ha-NG) Presto/2.9.180 Version/10.00,1,716,,1,utilities,False,2026-02-16,False
TXN00000095,9463,714,3.81,COP,approved,2026-02-01 05:29:12,credit_card,Mastercard,CO,00,Transaction approved,3.26,0.12,3.69,desktop,200.211.92.148,"Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/39.0.825.0 Safari/534.0",1,2230,False,1,food_beverage,False,2026-02-03,False
TXN00000100,6220,173,76.86,COP,approved,2026-02-10 01:11:04,credit_card,Visa,CO,00,Transaction approved,3.31,2.54,74.32,mobile,56.120.236.61,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.0),1,139,True,12,tech,False,2026-02-11,False
