transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date,is_suspicious
TXN00000007,4426,940,22.24,COP,approved,2026-02-12 15:36:12,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,72.172.139.250,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_2 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/26.0.857.0 Mobile/12B664 Safari/531.1",1,602,True,1,services,False,2026-02-14,False
TXN00000010,4502,636,20.96,COP,approved,2026-02-22 21:50:01,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,62.233.177.251,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/534.39.1 (KHTML, like Gecko) Version/4.0 Safari/534.39.1",1,2226,,1,food_beverage,False,2026-02-23,False
TXN00000016,685,247,67.09,COP,approved,2026-03-29 16:28:58,ewallet,Clip,CO,00,Transaction approved,4.3,2.88,64.21,tablet,187.10.202.98,Opera/9.61.(X11; Linux x86_64; fa-IR) Presto/2.9.182 Version/12.00,1,1399,,1,services,False,2026-03-31,False
TXN00000018,5641,124,61.49,COP,approved,2026-03-15 17:54:10,credit_card,American Express,CO,00,Transaction approved,3.24,1.99,59.5,mobile,197.187.106.129,"Mozilla/5.0 (Linux; Android 4.1) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/28.0.865.0 Safari/534.2",1,1372,True,6,tech,False,2026-03-17,False
TXN00000019,3821,602,140.6,COP,approved,2026-03-23 03:19:48,credit_card,Diners Club,CO,00,Transaction approved,2.87,4.04,136.56,mobile,89.2.81.2,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/30.0.839.0 Mobile/37Z998 Safari/531.1",1,2482,True,12,travel,False,2026-03-25,False
TXN00000023,4360,267,108.13,COP,approved,2026-03-27 18:57:31,credit_card,Mastercard,CO,00,Transaction approved,3.08,3.33,104.8,desktop,81.104.155.206,Opera/9.72.(X11; Linux x86_64; ik-CA) Presto/2.9.179 Version/12.00,1,828,True,1,travel,False,2026-03-29,False
TXN00000040,4753,208,19.51,COP,approved,2026-03-09 05:23:52,credit_card,Diners Club,CO,00,Transaction approved,2.83,0.55,18.96,tablet,128.251.104.24,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/6244-10-24 18:51:31.609406 Firefox/3.8,1,1837,True,1,utilities,False,2026-03-11,False
TXN00000049,7758,885,57.56,COP,approved,2026-03-19 07:36:20,ewallet,PayPal,CO,00,Transaction approved,3.55,2.04,55.52,desktop,121.67.92.178,"Mozilla/5.0 (Windows 95) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/59.0.852.0 Safari/531.1",1,483,,1,travel,False,2026-03-20,False
TXN00000058,3961,219,18.52,COP,pending,2026-03-28 09:28:33,bank_transfer,Transferencia,CO,pending,Pending authorization,0.0,0.0,0.0,tablet,185.13.214.186,Opera/8.90.(X11; Linux x86_64; szl-PL) Presto/2.9.176 Version/10.00,1,2518,,1,utilities,False,,False
TXN00000059,2465,68,49.02,COP,approved,2026-03-06 14:48:01,bank_transfer,Transferencia,CO,00,Transaction approved,1.94,0.95,48.07,mobile,83.18.36.18,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; se-NO) AppleWebKit/534.3.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6534.3.6",1,2043,,1,entertainment,False,2026-03-07,False
